12/13/2023 3:54:32 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/13/2023 3:54:33 PM	1C:28:AF:65:D3:71	""	"tudelft-dastud"	""	""	-82	33	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:A2:B0	""	"eduroam"	""	""	-76	50	"5"	"Ch 64 [5.320 GHz]"	""	"5 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:70	""	"eduroam"	""	"Connected AP"	-51	92	"5"	"Ch 52 [5.260 GHz]"	""	"5 Stations, 7% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:C5:C2	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 27% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:C5:D1	""	"tudelft-dastud"	""	""	-84	29	"0"	"Ch 108 [5.540 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:65:D3:70	""	"eduroam"	""	""	-82	33	"1"	"Ch 108 [5.540 GHz]"	""	"1 Station, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F3:07:F0	""	"eduroam"	""	""	-81	35	"4"	"Ch 52 [5.260 GHz]"	""	"4 Stations, 5% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:31	""	"tudelft-dastud"	""	""	-61	82	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:EC:90	""	"eduroam"	""	""	-68	72	"13"	"Ch 104 [5.520 GHz]"	""	"13 Stations, 3% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:38 PM	D0:4D:C6:F2:B2:B0	""	"eduroam"	""	""	-82	33	"15"	"Ch 104 [5.520 GHz]"	""	"15 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
